flug_id,flugnr,kapazitaet,Anzahl_von_Buchungen,5%_Yes/No
1,AF1078,95,4,No
2,AF1377,420,20,No
3,AF1518,380,18,No
4,AF1593,115,6,Yes
5,AF1632,78,5,Yes
6,AF1748,150,8,Yes
7,AF1837,335,15,No
8,AF1908,420,22,Yes
9,AF2227,115,5,No
10,AF3068,78,5,Yes
11,AF3226,95,5,Yes
12,AF3230,79,3,No
13,AF3256,79,5,Yes
14,AF3430,78,5,Yes
15,AF3676,644,32,No
16,AF3985,380,18,No
17,AF4041,150,9,Yes
18,AF4056,115,7,Yes
19,AF4126,95,5,Yes
20,AF4264,78,3,No
21,AF4288,114,5,No
22,AF4429,200,10,No
23,AF4531,95,5,Yes
24,AF4599,114,5,No
25,AF4641,78,4,Yes
26,AF5143,95,4,No
27,AF5320,79,4,Yes
28,AF5448,78,4,Yes
29,AF5675,114,7,Yes
30,AF5788,644,32,No
31,AF7021,115,6,Yes
32,AF7210,420,19,No
33,AF7245,95,5,Yes
34,AF7487,420,20,No
35,AF7568,335,15,No
36,AF7629,335,15,No
37,AF7889,380,20,Yes
38,AF8329,115,6,Yes
39,AF8380,335,15,No
40,AF8467,420,20,No
41,AF8676,420,21,No
42,AF8716,200,10,No
43,AF8780,50,2,No
44,AF9213,115,6,Yes
45,AF9336,78,4,Yes
46,AF9482,115,5,No
47,AF9511,420,20,No
48,AF9700,200,10,No
49,AF9835,114,4,No
50,AL1017,79,3,No
51,AL1028,420,20,No
52,AL1073,50,3,Yes
53,AL1163,79,5,Yes
54,AL1184,420,22,Yes
55,AL1242,420,21,No
56,AL1445,79,4,Yes
57,AL1496,644,33,Yes
58,AL1547,644,31,No
59,AL1565,335,15,No
60,AL1905,79,4,Yes
61,AL1933,79,4,Yes
62,AL2193,644,33,Yes
63,AL2266,114,7,Yes
64,AL2289,115,6,Yes
65,AL2437,420,20,No
66,AL2570,420,20,No
67,AL2668,335,17,Yes
68,AL2821,78,3,No
69,AL2946,420,19,No
70,AL3161,78,4,Yes
71,AL3990,50,2,No
72,AL4015,150,8,Yes
73,AL4082,79,4,Yes
74,AL4189,79,4,Yes
75,AL4779,150,8,Yes
76,AL4815,50,3,Yes
77,AL5028,380,18,No
78,AL5125,50,3,Yes
79,AL5198,150,7,No
80,AL5621,335,17,Yes
81,AL5630,50,2,No
82,AL6297,420,20,No
83,AL6613,50,2,No
84,AL6672,200,9,No
85,AL6705,78,4,Yes
86,AL6991,50,3,Yes
87,AL7291,200,10,No
88,AL7715,420,21,No
89,AL7772,114,6,Yes
90,AL8051,420,21,No
91,AL8189,644,31,No
92,AL8719,78,3,No
93,AL9073,50,3,Yes
94,AL9299,78,4,Yes
95,AL9386,335,16,No
96,AL9423,114,4,No
97,AL9477,78,3,No
98,AL9637,115,6,Yes
99,AL9745,78,4,Yes
100,AL9851,150,6,No
101,AL9953,200,11,Yes
102,AM1241,95,6,Yes
103,AM1246,79,4,Yes
104,AM1659,420,19,No
105,AM2041,78,4,Yes
106,AM2046,79,3,No
107,AM2479,78,4,Yes
108,AM3034,380,18,No
109,AM3379,79,5,Yes
110,AM3587,78,4,Yes
111,AM4744,78,4,Yes
112,AM4982,335,17,Yes
113,AM4998,79,4,Yes
114,AM5116,420,21,No
115,AM5136,200,9,No
116,AM5188,115,7,Yes
117,AM5626,78,4,Yes
118,AM5825,79,5,Yes
